FltyId,Longitude,Latitude,Area,Occ,NumStories,FoundationType,FirstFloorHt,FOUND_TYPE,Cost,ContentCost,GooglePlus,Depth_Grid,Depth_in_Struc,flExp,SOID,BDDF_ID,BldgDmgPct,BldgLossUSD,ContentCostUSD,CDDF_ID,ContDmgPct,ContentLossUSD,InventoryCostUSD,IDDF_ID,InvDmgPct,InventoryLossUSD,DebrisID,Debris_Fin,Debris_Struc,Debris_Found,Debris_Tot,Restor_Days_Min,Restor_Days_Max,GridName
156,-101.3151795,48.26076296,1680,RES3A,1,7,0.94,SLAB ON GRADE,30000,15000,85WW7M8X+92,0,-0.94,0,R3A1N,0,0,0,15000,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
441,-101.3494766,48.24361556,1354,RES1,1,7,0.94,SLAB ON GRADE,79000,39500,85WW6MHX+FG,0,-0.94,0,R11N,0,0,0,39500,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
1007,-101.299809,48.257948,1215,RES3E,1,7,0.94,SLAB ON GRADE,128500,64250,85WW7P52+53,0,-0.94,0,R3E1N,0,0,0,64250,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
2326,-101.2968027,48.25624408,3469,RES4,1,7,0.94,SLAB ON GRADE,1145500,572750,85WW7P43+F7,0,-0.94,0,R4LN,0,0,0,572750,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
2665,-101.3208558,48.24660312,1603,RES1,1,7,0.94,SLAB ON GRADE,72500,36250,85WW6P95+W3,0,-0.94,0,R11N,0,0,0,36250,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
3442,-101.3084075,48.247079,14135,RES1,1,4,0.94,BASEMENT,780500,390250,85WW6P6H+WC,0,-0.94,0,R11B,0,0,0,390250,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
3570,-101.288075,48.246337,956,RES1,1,4,0.94,BASEMENT,792000,396000,85WW7P52+GM,0,-0.94,0,R11B,0,0,0,396000,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
3830,-101.3040065,48.2580225,1975,RES1,1,7,0.94,SLAB ON GRADE,138000,69000,85WW6M7Q+85,0,-0.94,0,R11N,0,0,0,69000,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
3973,-101.3166788,48.25675751,877,RES3B,1,7,0.94,SLAB ON GRADE,61000,30500,85WW7M4Q+QQ,0,-0.94,0,R3B1N,0,0,0,30500,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
4003,-101.3158416,48.2600176,711,RES3B,1,7,0.94,SLAB ON GRADE,66500,33250,85WW7M2J+6P,0,-0.94,0,R3B1N,0,0,0,33250,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
4089,-101.3066037,48.24492818,662,RES3B,2,7,0.94,SLAB ON GRADE,62000,31000,85WW7P82+MR,0,-0.94,0,R3B1N,0,0,0,31000,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
4203,-101.3334341,48.25368445,1495,RES1,1,4,0.94,BASEMENT,206500,103250,85WW6M6J+Q6,0,-0.94,0,R11B,0,0,0,103250,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
4286,-101.3380449,48.24940448,575,RES1,1,4,0.94,BASEMENT,13500,6750,85WW6MC7+R4,0,-0.94,0,R11B,0,0,0,6750,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
4360,-101.3172959,48.26161179,1250,RES3A,2,7,0.94,SLAB ON GRADE,99500,49750,85WW7M6M+C5,0,-0.94,0,R3A1N,0,0,0,49750,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
4648,-101.2672397,48.23184714,1427,RES1,1,4,0.94,BASEMENT,208000,104000,85WW6MR5+79,0,-0.94,0,R11B,0,0,0,104000,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
4972,-101.30901,48.22471506,1502,RES1,1,7,0.94,SLAB ON GRADE,74500,37250,85WW7M7X+JM,0,-0.94,0,R11N,0,0,0,37250,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
5068,-101.3146959,48.22159345,1192,RES3A,1,7,0.94,SLAB ON GRADE,55000,27500,85WW6MMV+P8,0,-0.94,0,R3A1N,0,0,0,27500,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
5338,-101.2822216,48.23399316,6362,RES1,1,4,0.94,BASEMENT,338500,169250,85WW6MMJ+GP,0,-0.94,0,R11B,0,0,0,169250,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
5347,-101.285515,48.230537,1723,RES1,1,7,0.94,SLAB ON GRADE,119600,59800,85WW6MHH+VP,0,-0.94,0,R11N,0,0,0,59800,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
5429,-101.3428663,48.23954254,1874,COM4,1,7,0.94,SLAB ON GRADE,82500,41250,85WW7P42+53,0,-0.94,0,C4LN,0,0,0,41250,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
5727,-101.3201885,48.2409155,1552,RES1,1,7,0.94,SLAB ON GRADE,81500,40750,85WW7M7X+HM,0,-0.94,0,R11N,0,0,0,40750,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
5859,-101.2779429,48.24297182,1243,RES1,1,4,0.94,BASEMENT,485000,242500,85WW6PQJ+W6,0,-0.94,0,R11B,0,0,0,242500,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
6002,-101.2899045,48.2247585,1338,RES1,1,7,0.94,SLAB ON GRADE,129200,64600,85WW6MQH+R3,0,-0.94,0,R11N,0,0,0,64600,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
6215,-101.3485696,48.23140772,1035,RES1,1,4,0.94,BASEMENT,485000,242500,85WW6QG2+P9,0,-0.94,0,R11B,0,0,0,242500,0,0,0,0,0,0,0,,,,,,0,0,BERYL_2024_adv41_e10_ResultMaskRaster.tif
