event,county_fips5,state_abbr,county_name,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon
BERYL_2024,48007,TX,Aransas,897,889,889,792,794,786,86.9515,100.0,1.339396519E8,28.048025,-97.07913
BERYL_2024,48039,TX,Brazoria,23444,22088,21849,16434,20511,19104,76.3937,100.0,4.30072158167E9,29.051222,-95.409629
BERYL_2024,48057,TX,Calhoun,494,489,488,445,476,471,90.4767,100.0,5.191362968E7,28.550491,-96.564451
BERYL_2024,48061,TX,Cameron,446,435,435,370,382,373,82.2814,100.0,8.944543392E7,26.135624,-97.426941
BERYL_2024,48071,TX,Chambers,1417,1360,1307,957,1156,1066,71.8313,100.0,3.3942468353E8,29.776934,-94.73152
BERYL_2024,48167,TX,Galveston,22176,16324,16000,12452,20220,14272,60.9531,100.0,2.96521538462E9,29.377478,-94.93403
BERYL_2024,48175,TX,Goliad,1,1,1,0,0,0,42.5,42.5,86864.9,28.858474,-97.213782
BERYL_2024,48199,TX,Hardin,2205,2179,2179,1340,2071,2047,72.9671,100.0,3.8474419662E8,30.283249,-94.247107
BERYL_2024,48201,TX,Harris,7892,7792,7552,5439,6952,6767,74.5422,100.0,2.00395147798E9,29.906024,-95.323898
BERYL_2024,48239,TX,Jackson,100,99,99,49,96,95,67.495,100.0,1.572834098E7,28.820245,-96.504122
BERYL_2024,48241,TX,Jasper,355,354,354,286,316,315,84.2028,100.0,4.883263098E7,30.469019,-94.013611
BERYL_2024,48245,TX,Jefferson,35946,25557,25139,20109,32973,22545,60.2835,100.0,4.36579354066E9,29.932514,-93.958733
BERYL_2024,48261,TX,Kenedy,3,3,3,1,3,3,61.6667,100.0,119729.45,26.714392,-97.69625
BERYL_2024,48273,TX,Kleberg,70,69,69,63,50,49,84.9643,100.0,1.433516655E7,27.327388,-97.702032
BERYL_2024,48291,TX,Liberty,4233,4204,4204,3785,4067,4039,90.5904,100.0,5.0557869796E8,30.134034,-94.86191
BERYL_2024,48321,TX,Matagorda,2329,2248,2046,1164,2140,1880,60.3976,100.0,1.8422145427E8,28.769565,-95.763983
BERYL_2024,48339,TX,Montgomery,1,1,1,1,0,0,55.0,55.00000000000001,151084.45,30.129532,-95.496458
BERYL_2024,48351,TX,Newton,629,626,626,558,561,558,88.6804,100.0,7.396485234E7,30.45395,-93.765338
BERYL_2024,48355,TX,Nueces,344,341,341,296,287,284,85.7573,100.0,8.127751151E7,27.793023,-97.436474
BERYL_2024,48361,TX,Orange,4379,4339,4326,3869,4292,4245,89.935,100.0,6.8035341822E8,30.150751,-93.906342
BERYL_2024,48391,TX,Refugio,63,63,63,43,50,50,75.0873,100.0,1.096928748E7,28.242846,-97.142599
BERYL_2024,48409,TX,San Patricio,191,186,186,167,160,156,84.178,100.0,3.418737665E7,27.976677,-97.494286
BERYL_2024,48469,TX,Victoria,65,65,65,56,47,47,82.4308,100.0,8738192.9,28.762643,-97.004361
BERYL_2024,48489,TX,Willacy,8,8,8,5,7,7,75.8125,100.0,902970.82,26.469493,-97.540623
DEBBY_2024,12019,FL,Clay,1510,1490,1490,1336,1454,1435,83.7788,100.0,2.5348150833E8,30.072078,-81.795764
DEBBY_2024,12031,FL,Duval,5796,5720,5717,4984,5535,5456,80.3876,100.0,1.26159860032E9,30.293218,-81.612786
DEBBY_2024,12035,FL,Flagler,680,676,672,612,645,637,85.1015,100.0,1.3338779878E8,29.517721,-81.196186
DEBBY_2024,12069,FL,Lake,36,29,21,17,35,21,39.2361,75.0,859044.05,29.174368,-81.534634
DEBBY_2024,12089,FL,Nassau,930,916,913,785,889,873,82.7425,100.0,1.3724473616E8,30.594939,-81.693091
DEBBY_2024,12107,FL,Putnam,727,719,718,590,677,668,81.9807,100.0,7.894898642E7,29.648477,-81.740905
DEBBY_2024,12109,FL,St. Johns,3834,3794,3790,3060,3728,3684,79.8356,100.0,8.7682655008E8,30.011713,-81.428329
DEBBY_2024,12127,FL,Volusia,1118,1106,1098,970,1005,987,80.4875,100.0,2.5361523651E8,29.184173,-81.066668
DEBBY_2024,13025,GA,Brantley,528,520,518,447,510,502,84.9337,100.0,6.594940051E7,31.228158,-81.93635
DEBBY_2024,13029,GA,Bryan,1043,1030,1029,789,990,977,76.8514,100.0,1.9630366305E8,31.955188,-81.346324
DEBBY_2024,13039,GA,Camden,1618,1601,1601,1364,1545,1529,82.1508,100.0,3.1350341943E8,30.879419,-81.663055
DEBBY_2024,13049,GA,Charlton,97,97,97,86,95,95,88.6031,100.0,1.201261854E7,30.655291,-82.085183
DEBBY_2024,13051,GA,Chatham,3757,3676,3658,2860,3502,3421,75.3002,100.0,9.9722190696E8,32.014211,-81.126696
DEBBY_2024,13103,GA,Effingham,1409,1396,1396,1179,1339,1326,80.7896,100.0,2.3559377459E8,32.312801,-81.314834
DEBBY_2024,13127,GA,Glynn,1868,1847,1842,1541,1749,1726,80.428,100.0,3.2141793773E8,31.220046,-81.514128
DEBBY_2024,13179,GA,Liberty,2090,2076,2073,1616,2007,1990,79.8895,100.0,5.1347655497E8,31.800174,-81.459476
DEBBY_2024,13183,GA,Long,304,304,304,266,289,289,85.5099,100.0,4.877501165E7,31.768927,-81.741588
DEBBY_2024,13191,GA,McIntosh,750,743,741,618,709,704,82.2987,100.0,1.3025045588E8,31.497487,-81.406123
DEBBY_2024,13305,GA,Wayne,759,754,754,655,700,695,83.5046,100.0,9.646046563E7,31.611893,-81.902893
DEBBY_2024,37013,NC,Beaufort,4232,3342,2619,1603,3885,2509,42.8613,100.0,2.8968899853E8,35.498022,-76.837127
DEBBY_2024,37015,NC,Bertie,503,494,494,409,448,440,80.5785,100.0,6.205409012E7,36.020896,-76.936747
