event_key,county_fips5,county_name_x,state_name,planned_shelter,actual_shelter,shelter_pop,event,state_abbr,county_name_y,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon,total_population,pct_elderly,median_household_income,total_housing_units
BERYL_2024,48039,Brazoria,TX,84.0,,84.0,BERYL_2024,TX,Brazoria,23444,22088,21849,16434,20511,19104,76.3937,100.0,4300721581.67,29.051222,-95.409629,374600,0.1223,91972,142985
BERYL_2024,48167,Galveston,TX,,5.0,5.0,BERYL_2024,TX,Galveston,22176,16324,16000,12452,20220,14272,60.9531,100.0,2965215384.62,29.377478,-94.93403,350801,0.1491,83913,156803
BERYL_2024,48201,Harris,TX,,307.0,307.0,BERYL_2024,TX,Harris,7892,7792,7552,5439,6952,6767,74.5422,100.0,2003951477.98,29.906024,-95.323898,4726177,0.1104,70789,1851489
BERYL_2024,48321,Matagorda,TX,27.0,,27.0,BERYL_2024,TX,Matagorda,2329,2248,2046,1164,2140,1880,60.3976,100.0,184221454.27,28.769565,-95.763983,36251,0.1743,56412,18674
BERYL_2024,48339,Montgomery,TX,,234.0,234.0,BERYL_2024,TX,Montgomery,1,1,1,1,0,0,55.0,55.00000000000001,151084.45,30.129532,-95.496458,629989,0.1342,95946,242656
HELENE_2024,12015,Charlotte,FL,,19.0,19.0,HELENE_2024,FL,Charlotte,33288,28519,22990,6514,31972,22747,31.8426,100.0,2229085709.1,26.927826,-82.152872,189900,0.4034,62164,111330
HELENE_2024,12017,Citrus,FL,,62.0,62.0,HELENE_2024,FL,Citrus,20089,19261,18309,13383,18081,17032,68.6766,100.0,1968712094.78,28.839482,-82.575112,155173,0.3635,52569,82142
HELENE_2024,12029,Dixie,FL,14.0,,14.0,HELENE_2024,FL,Dixie,2933,2394,2318,1920,2869,2293,66.8031,100.0,165720105.71,29.497992,-83.14765,16737,0.2371,45057,9304
HELENE_2024,12037,Franklin,FL,2.0,,2.0,HELENE_2024,FL,Franklin,2075,1210,1075,716,1986,1042,37.9923,100.0,107011691.7,29.78706,-84.710707,12276,0.2528,58107,8415
HELENE_2024,12053,Hernando,FL,,4.0,4.0,HELENE_2024,FL,Hernando,4745,4407,4301,3565,4595,4208,74.3015,100.0,562331689.28,28.50983,-82.587158,196621,0.2684,59202,89635
HELENE_2024,12057,Hillsborough,FL,,26.0,26.0,HELENE_2024,FL,Hillsborough,75619,67453,58484,30533,71084,56690,44.6359,100.0,8403411487.72,27.922988,-82.468186,1468560,0.1461,70612,606334
HELENE_2024,12065,Jefferson,FL,15.0,,15.0,HELENE_2024,FL,Jefferson,353,347,347,294,336,330,75.8711,100.0,47441401.32,30.450673,-83.917801,14458,0.2409,51573,6741
HELENE_2024,12067,Lafayette,FL,5.0,,5.0,HELENE_2024,FL,Lafayette,245,245,245,215,241,241,86.4265,100.0,24117683.6,29.963994,-83.058538,8107,0.1916,57852,3403
HELENE_2024,12073,Leon,FL,37.0,,37.0,HELENE_2024,FL,Leon,2042,2026,2026,1741,1885,1870,81.0923,100.0,308480392.96,30.475109,-84.257193,294128,0.1407,61317,134107
HELENE_2024,12079,Madison,FL,29.0,,29.0,HELENE_2024,FL,Madison,71,71,71,60,68,68,85.162,100.0,7722109.85,30.376744,-83.625771,17986,0.2237,43386,8362
HELENE_2024,12081,Manatee,FL,,33.0,33.0,HELENE_2024,FL,Manatee,29272,23749,21506,12331,28199,21153,46.2476,100.0,3079716456.39,27.496179,-82.585002,405069,0.282,71385,208358
HELENE_2024,12101,Pasco,FL,,91.0,91.0,HELENE_2024,FL,Pasco,44022,39833,36172,19877,41433,35089,49.2956,100.0,7311017269.29,28.259987,-82.691267,569211,0.2217,63187,259083
HELENE_2024,12103,Pinellas,FL,,117.0,117.0,HELENE_2024,FL,Pinellas,93790,88024,79136,45363,88251,77234,48.1589,100.0,9742464689.56,27.887258,-82.720532,959918,0.2556,66406,516276
HELENE_2024,12121,Suwannee,FL,6.0,,6.0,HELENE_2024,FL,Suwannee,239,239,239,223,233,233,87.9833,100.0,23695591.8,30.014748,-82.962943,43881,0.2115,49729,18948
HELENE_2024,12123,Taylor,FL,57.0,,57.0,HELENE_2024,FL,Taylor,2882,2586,2427,1856,2709,2367,65.954,100.0,188655303.8,29.78697,-83.494997,21421,0.2041,46239,11110
HELENE_2024,12129,Wakulla,FL,34.0,,34.0,HELENE_2024,FL,Wakulla,2483,1885,1631,1126,2261,1553,47.3232,100.0,162567368.63,30.073684,-84.353966,33732,0.1568,72035,13843
IDA_2021,22005,Ascension,LA,22.0,110.0,110.0,IDA_2021,LA,Ascension,4284,4252,3520,2193,3754,3179,60.7246,100.0,743075674.65,30.23377,-90.872923,126973,0.1241,93800,49998
IDA_2021,22007,Assumption,LA,9.0,46.0,46.0,IDA_2021,LA,Assumption,1641,1624,1322,906,1576,1289,58.7858,100.0,132269504.91,29.867027,-91.12612,21067,0.1941,47023,10032
