event_key,county_fips5,county_name_x,state_name,planned_shelter,actual_shelter,shelter_pop,event,state_abbr,county_name_y,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon,total_population,pct_elderly,median_household_income,total_housing_units,displaced_pop_estimate,tier1_shelter_estimate,damage_rate,severe_rate,displacement_rate,log_displaced_pop,log_n_buildings,log_bldg_loss,log_total_pop,damage_x_pop,tier2_shelter_estimate,tier3_p90,tier3_p95,tier3_p99
BERYL_2024,48039,Brazoria,TX,84.0,,84.0,BERYL_2024,TX,Brazoria,23444,22088,21849,16434,20511,19104,76.3937,100.0,4300721581.67,29.051222,-95.409629,374600,0.1223,91972,142985,48333.119999999995,352.07225239519136,0.9421600409486436,0.7009895922197578,0.8148780071660127,10.785893008464221,10.062412531523687,22.182048655490675,12.83361673850271,980.4074670361545,160.15292502161816,56190.0,56190.0,56190.0
BERYL_2024,48167,Galveston,TX,,5.0,5.0,BERYL_2024,TX,Galveston,22176,16324,16000,12452,20220,14272,60.9531,100.0,2965215384.62,29.377478,-94.93403,350801,0.1491,83913,156803,36108.159999999996,263.02215170562033,0.7361111111111112,0.5615079365079365,0.6435786435786436,10.494301851746709,10.00681099476803,21.810215509462637,12.767977240718189,778.2477935512198,231.82965124666225,52620.15,52620.15,52620.15
BERYL_2024,48201,Harris,TX,,307.0,307.0,BERYL_2024,TX,Harris,7892,7792,7552,5439,6952,6767,74.5422,100.0,2003951477.98,29.906024,-95.323898,4726177,0.1104,70789,1851489,17120.51,124.71068529932265,0.9873289406994424,0.6891789153573239,0.8574505828687278,9.748090846740839,8.973731569708402,21.418386807790085,15.368627400006178,1145.6112973767404,278.7189210685836,37764.48540015418,98042.3602129694,708926.5499999999
BERYL_2024,48321,Matagorda,TX,27.0,,27.0,BERYL_2024,TX,Matagorda,2329,2248,2046,1164,2140,1880,60.3976,100.0,184221454.27,28.769565,-95.763983,36251,0.1743,56412,18674,4756.4,34.646976261670844,0.965221124946329,0.49978531558608846,0.807213396307428,8.467456579506408,7.753623546559746,19.03164915312404,10.498249831174672,634.0690940033553,44.2892586731092,5437.65,5437.65,5437.65
BERYL_2024,48339,Montgomery,TX,,234.0,234.0,BERYL_2024,TX,Montgomery,1,1,1,1,0,0,55.0,55.00000000000001,151084.45,30.129532,-95.496458,629989,0.1342,95946,242656,0.0,0.0,1.0,1.0,0.0,0.0,0.6931471805599453,11.925600849779146,13.353459225225865,734.4402573874225,192.8274734863381,0.0,0.0,0.0
HELENE_2024,12015,Charlotte,FL,,19.0,19.0,HELENE_2024,FL,Charlotte,33288,28519,22990,6514,31972,22747,31.8426,100.0,2229085709.1,26.927826,-82.152872,189900,0.4034,62164,111330,57549.909999999996,419.2099835235248,0.8567351598173516,0.19568613314107186,0.6833393415044461,10.960425226362114,10.412982291067124,21.524857342876462,12.15425816271595,387.0231809720989,163.69523850748558,28485.0,28485.0,28485.0
HELENE_2024,12017,Citrus,FL,,62.0,62.0,HELENE_2024,FL,Citrus,20089,19261,18309,13383,18081,17032,68.6766,100.0,1968712094.78,28.839482,-82.575112,155173,0.3635,52569,82142,43090.96,313.8868615365839,0.9587834138085519,0.6661854746378615,0.8478271690975161,10.67109171576711,9.90797745780898,21.400645407415734,11.95230234692405,820.8434873587642,156.35492388576637,23275.95,23275.95,23275.95
HELENE_2024,12029,Dixie,FL,14.0,,14.0,HELENE_2024,FL,Dixie,2933,2394,2318,1920,2869,2293,66.8031,100.0,165720105.71,29.497992,-83.14765,16737,0.2371,45057,9304,5801.29,42.258253493623,0.8162291169451074,0.6546198431639959,0.7817933856120014,8.666007946196817,7.984121958702927,18.925810819090717,9.725436862592819,649.6893312754744,44.81835610074876,2510.5499999999997,2510.5499999999997,2510.5499999999997
HELENE_2024,12037,Franklin,FL,2.0,,2.0,HELENE_2024,FL,Franklin,2075,1210,1075,716,1986,1042,37.9923,100.0,107011691.7,29.78706,-84.710707,12276,0.2528,58107,8415,2636.2599999999998,19.203270885457986,0.5831325301204819,0.3450602409638554,0.5021686746987952,7.877495778383339,7.638198244285779,18.488448664025913,9.41548287218084,357.7158499247561,72.37091005359888,1841.3999999999999,1841.3999999999999,1841.3999999999999
HELENE_2024,12053,Hernando,FL,,4.0,4.0,HELENE_2024,FL,Hernando,4745,4407,4301,3565,4595,4208,74.3015,100.0,562331689.28,28.50983,-82.587158,196621,0.2684,59202,89635,10646.24,77.55025324952707,0.9287671232876712,0.7513171759747103,0.8868282402528977,9.273055982621552,8.465057436995709,20.147602429988428,12.18903838277438,905.6638353977106,176.95332280896415,23483.516264792197,29493.149999999998,29493.149999999998
